+--------------------+----------------------------------------+-------------------------------------------------------------+--------------------------------------------------+------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------+
| Domain             | Method                                 | URI                                                         | Name                                             | Action                                                                       | Middleware                                                                                                               |
| admin.localhost    | DELETE                                 | cars/destroyCarLicence/{car}                                | admin.cars.destroyCarLicence                     | App\Http\Controllers\Admin\CarsController@destroyCarLicence                  | web,auth,role:admin,active,checkPermission:cars                                                                          |
| admin.localhost    | DELETE                                 | cars/destroyLicence/{car}                                   | admin.cars.destroyLicence                        | App\Http\Controllers\Admin\CarsController@destroyLicence                     | web,auth,role:admin,active,checkPermission:cars                                                                          |
| merchant.localhost | GET|HEAD                               | cars/edit/{car}                                             | admin2.cars.edit                                 | App\Http\Controllers\TAdmin\CarsController@edit                              | web,auth,role:merchant,active,merchantCompany                                                                            |
| admin.localhost    | GET|HEAD                               | cars/edit/{car}                                             | admin.cars.edit                                  | App\Http\Controllers\Admin\CarsController@edit                               | web,auth,role:admin,active,checkPermission:cars                                                                          |
| admin.localhost    | GET|HEAD                               | cars/export                                                 | admin.cars.export                                | App\Http\Controllers\Admin\CarsController@export                             | web,auth,role:admin,active,checkPermission:cars                                                                          |
| admin.localhost    | POST                                   | cars/push                                                   | admin.cars.send-push                             | App\Http\Controllers\Admin\CarsController@sendPush                           | web,auth,role:admin,active,checkPermission:cars                                                                          |
| admin.localhost    | DELETE                                 | cars/push/{user}/{notification}                             | admin.cars.destroy-push                          | App\Http\Controllers\Admin\CarsController@destroyPush                        | web,auth,role:admin,active,checkPermission:cars                                                                          |
| admin.localhost    | GET|HEAD                               | cars/show/{car}                                             | admin.cars.show                                  | App\Http\Controllers\Admin\CarsController@show                               | web,auth,role:admin,active,checkPermission:cars                                                                          |
| merchant.localhost | GET|HEAD                               | cars/show/{car}                                             | admin2.cars.show                                 | App\Http\Controllers\TAdmin\CarsController@show                              | web,auth,role:merchant,active,merchantCompany                                                                            |
| admin.localhost    | POST                                   | cars/store                                                  | admin.cars.store                                 | App\Http\Controllers\Admin\CarsController@store                              | web,auth,role:admin,active,checkPermission:cars                                                                          |
| merchant.localhost | POST                                   | cars/store                                                  | admin2.cars.store                                | App\Http\Controllers\TAdmin\CarsController@store                             | web,auth,role:merchant,active,merchantCompany                                                                            |
| merchant.localhost | PUT                                    | cars/update/{car}                                           | admin2.cars.update                               | App\Http\Controllers\TAdmin\CarsController@update                            | web,auth,role:merchant,active,merchantCompany                                                                            |
| admin.localhost    | PUT                                    | cars/update/{car}                                           | admin.cars.update                                | App\Http\Controllers\Admin\CarsController@update                             | web,auth,role:admin,active,checkPermission:cars                                                                          |
| admin.localhost    | GET|HEAD                               | chat                                                        | admin.chat.index                                 | App\Http\Controllers\Admin\ChatController@index                              | web,auth,role:admin,active,checkPermission:chat                                                                          |
| admin.localhost    | POST                                   | chat                                                        | admin.chat.send                                  | App\Http\Controllers\Admin\ChatController@sendMessage                        | web,auth,role:admin,active,checkPermission:chat                                                                          |
| admin.localhost    | GET|HEAD                               | chat/bookings                                               | admin.chat.index-bookings                        | App\Http\Controllers\Admin\ChatController@bookings                           | web,auth,role:admin,active,checkPermission:chat                                                                          |
| admin.localhost    | POST                                   | chat/bookings                                               | admin.chat.send-bookings                         | App\Http\Controllers\Admin\ChatController@sendMessageBooking                 | web,auth,role:admin,active,checkPermission:chat                                                                          |
| merchant.localhost | GET|HEAD                               | chat/bookings                                               | admin2.chat.index-bookings                       | App\Http\Controllers\TAdmin\ChatController@bookings                          | web,auth,role:merchant,active,merchantCompany                                                                            |
| merchant.localhost | POST                                   | chat/bookings                                               | admin2.chat.send-bookings                        | App\Http\Controllers\TAdmin\ChatController@sendMessageBooking                | web,auth,role:merchant,active,merchantCompany                                                                            |
| api.localhost      | POST                                   | client-company/agree-terms                                  | api.client-company.agreeWithTerms                | App\Http\Controllers\Api\CompanyController@agreeWithTerms                    | api,localize,localizationRedirect,apiLang,apiAuth:driver,client,merchant                                                 |
| api.localhost      | GET|HEAD                               | client-company/bookings                                     | api.client-company.bookings                      | App\Http\Controllers\Api\CompanyController@bookings                          | api,localize,localizationRedirect,apiLang,apiAuth:driver,client,merchant                                                 |
| api.localhost      | GET|HEAD                               | client-company/show                                         | api.client-company.show                          | App\Http\Controllers\Api\CompanyController@show                              | api,localize,localizationRedirect,apiLang,apiAuth:driver,client,merchant                                                 |
| api.localhost      | GET|HEAD                               | client-company/transactions                                 | api.client-company.transactions                  | App\Http\Controllers\Api\CompanyController@transactions                      | api,localize,localizationRedirect,apiLang,apiAuth:driver,client,merchant                                                 |
| api.localhost      | POST                                   | client-company/user/add                                     | api.client-company.addUser                       | App\Http\Controllers\Api\CompanyController@addUser                           | api,localize,localizationRedirect,apiLang,apiAuth:driver,client,merchant                                                 |
| api.localhost      | GET|HEAD                               | client-company/user/{user}                                  | api.client-company.userInfo                      | App\Http\Controllers\Api\CompanyController@userInfo                          | api,localize,localizationRedirect,apiLang,apiAuth:driver,client,merchant                                                 |
| api.localhost      | DELETE                                 | client-company/user/{user}                                  | api.client-company.deleteUserFromCompany         | App\Http\Controllers\Api\CompanyController@deleteUserFromCompany             | api,localize,localizationRedirect,apiLang,apiAuth:driver,client,merchant                                                 |
| api.localhost      | POST                                   | client-company/user/{user}                                  | api.client-company.editUser                      | App\Http\Controllers\Api\CompanyController@editUser                          | api,localize,localizationRedirect,apiLang,apiAuth:driver,client,merchant                                                 |
| api.localhost      | GET|HEAD                               | client-company/users                                        | api.client-company.users                         | App\Http\Controllers\Api\CompanyController@users                             | api,localize,localizationRedirect,apiLang,apiAuth:driver,client,merchant                                                 |
| admin.localhost    | GET|HEAD                               | commission-rates                                            | admin.commission-rates.index                     | App\Http\Controllers\Admin\CommissionRatesController@index                   | web,auth,role:admin,active,checkPermission:commission-rates                                                              |
| admin.localhost    | GET|HEAD                               | commission-rates/create                                     | admin.commission-rates.create                    | App\Http\Controllers\Admin\CommissionRatesController@create                  | web,auth,role:admin,active,checkPermission:commission-rates                                                              |
| admin.localhost    | DELETE                                 | commission-rates/destroy/{rate}                             | admin.commission-rates.destroy                   | App\Http\Controllers\Admin\CommissionRatesController@destroy                 | web,auth,role:admin,active,checkPermission:commission-rates                                                              |
| admin.localhost    | GET|HEAD                               | commission-rates/edit/{rate}                                | admin.commission-rates.edit                      | App\Http\Controllers\Admin\CommissionRatesController@edit                    | web,auth,role:admin,active,checkPermission:commission-rates                                                              |
| admin.localhost    | POST                                   | commission-rates/store                                      | admin.commission-rates.store                     | App\Http\Controllers\Admin\CommissionRatesController@store                   | web,auth,role:admin,active,checkPermission:commission-rates                                                              |
| admin.localhost    | PUT                                    | commission-rates/update/{rate}                              | admin.commission-rates.update                    | App\Http\Controllers\Admin\CommissionRatesController@update                  | web,auth,role:admin,active,checkPermission:commission-rates                                                              |
| admin.localhost    | GET|HEAD                               | companies                                                   | admin.companies.index                            | App\Http\Controllers\Admin\CompaniesController@index                         | web,auth,role:admin,active,checkPermission:companies                                                                     |
| merchant.localhost | GET|HEAD                               | companies/company-register/{number}                         | admin2.companies.register                        | App\Http\Controllers\TAdmin\CompaniesController@register                     | web                                                                                                                      |
| merchant.localhost | POST                                   | companies/companystore                                      | admin2.companies.companystore                    | App\Http\Controllers\TAdmin\CompaniesController@companystore                 | web                                                                                                                      |
| admin.localhost    | GET|HEAD                               | companies/create                                            | admin.companies.create                           | App\Http\Controllers\Admin\CompaniesController@create                        | web,auth,role:admin,active,checkPermission:companies                                                                     |
| admin.localhost    | DELETE                                 | companies/destroy/{company}                                 | admin.companies.destroy                          | App\Http\Controllers\Admin\CompaniesController@destroy                       | web,auth,role:admin,active,checkPermission:companies                                                                     |
| admin.localhost    | GET|HEAD                               | companies/edit/{company}                                    | admin.companies.edit                             | App\Http\Controllers\Admin\CompaniesController@edit                          | web,auth,role:admin,active,checkPermission:companies                                                                     |
| admin.localhost    | GET|HEAD                               | companies/export                                            | admin.companies.export                           | App\Http\Controllers\Admin\CompaniesController@export                        | web,auth,role:admin,active,checkPermission:companies                                                                     |
| admin.localhost    | GET|HEAD                               | companies/show-orders/{company}                             | admin.companies.show-orders                      | App\Http\Controllers\Admin\CompaniesController@showOrders                    | web,auth,role:admin,active,checkPermission:companies                                                                     |
| admin.localhost    | GET|HEAD                               | companies/show/{company}                                    | admin.companies.show                             | App\Http\Controllers\Admin\CompaniesController@show                          | web,auth,role:admin,active,checkPermission:companies                                                                     |
| merchant.localhost | POST                                   | companies/store                                             | admin2.companies.store                           | App\Http\Controllers\TAdmin\CompaniesController@store                        | web                                                                                                                      |
| admin.localhost    | POST                                   | companies/store                                             | admin.companies.store                            | App\Http\Controllers\Admin\CompaniesController@store                         | web,auth,role:admin,active,checkPermission:companies                                                                     |
| merchant.localhost | GET|HEAD                               | companies/thank-you                                         | admin2.companies.thankyou                        | App\Http\Controllers\TAdmin\CompaniesController@thankyou                     | web                                                                                                                      |
| admin.localhost    | PUT                                    | companies/update/{company}                                  | admin.companies.update                           | App\Http\Controllers\Admin\CompaniesController@update                        | web,auth,role:admin,active,checkPermission:companies                                                                     |
| merchant.localhost | GET|HEAD                               | companies/web-thank-you                                     | admin2.companies.webthankyou                     | App\Http\Controllers\TAdmin\CompaniesController@webthankyou                  | web                                                                                                                      |
| merchant.localhost | GET|HEAD                               | company                                                     | admin2.company                                   | App\Http\Controllers\TAdmin\HomeController@company                           | web,auth,role:merchant,active,merchantCompany                                                                            |
| admin.localhost    | GET|HEAD                               | company_priorities                                          | admin.company_priorities.index                   | App\Http\Controllers\Admin\CompanyPriorities@index                           | web,auth,role:admin,active,checkPermission:company_priorities                                                            |
| admin.localhost    | GET|HEAD                               | company_priorities/create                                   | admin.company_priorities.create                  | App\Http\Controllers\Admin\CompanyPriorities@create                          | web,auth,role:admin,active,checkPermission:company_priorities                                                            |
| admin.localhost    | DELETE                                 | company_priorities/destroy/{priority}                       | admin.company_priorities.destroy                 | App\Http\Controllers\Admin\CompanyPriorities@destroy                         | web,auth,role:admin,active,checkPermission:company_priorities                                                            |
| admin.localhost    | GET|HEAD                               | company_priorities/edit/{priority}                          | admin.company_priorities.edit                    | App\Http\Controllers\Admin\CompanyPriorities@edit                            | web,auth,role:admin,active,checkPermission:company_priorities                                                            |
| admin.localhost    | POST                                   | company_priorities/store                                    | admin.company_priorities.store                   | App\Http\Controllers\Admin\CompanyPriorities@store                           | web,auth,role:admin,active,checkPermission:company_priorities                                                            |
| admin.localhost    | PUT                                    | company_priorities/update/{priority}                        | admin.company_priorities.update                  | App\Http\Controllers\Admin\CompanyPriorities@update                          | web,auth,role:admin,active,checkPermission:company_priorities                                                            |
| api.localhost      | GET|HEAD                               | confirmationOrders                                          | api.confirmationOrders                           | App\Http\Controllers\Api\TruckBookingController@confirmationOrders           | api,localize,localizationRedirect,apiLang                                                                                |
| admin.localhost    | GET|HEAD                               | contacts                                                    | admin.contacts.index                             | App\Http\Controllers\Admin\ContactsController@index                          | web,auth,role:admin,active,checkPermission:contacts                                                                      |
| admin.localhost    | PUT                                    | contacts/update                                             | admin.contacts.update                            | App\Http\Controllers\Admin\ContactsController@update                         | web,auth,role:admin,active,checkPermission:contacts                                                                      |
| admin.localhost    | GET|HEAD                               | dashboards                                                  | admin.dashboards.index                           | App\Http\Controllers\Admin\DashboardController@index                         | web,auth,role:admin,active,checkPermission:statistics                                                                    |
| admin.localhost    | GET|HEAD                               | dashboards/funnel                                           | admin.dashboards.funnel                          | App\Http\Controllers\Admin\DashboardController@funnel                        | web,auth,role:admin,active,checkPermission:statistics                                                                    |
| admin.localhost    | GET|HEAD                               | dashboards/gmv                                              | admin.dashboards.gmv                             | App\Http\Controllers\Admin\DashboardController@index                         | web,auth,role:admin,active,checkPermission:statistics                                                                    |
| admin.localhost    | GET|HEAD                               | deleterequests                                              | admin.deleterequests.index                       | App\Http\Controllers\Admin\UserDeleteRequestsController@index                | web,auth,role:admin,active,checkPermission:users                                                                         |
| admin.localhost    | POST                                   | deleterequests/declineuser                                  | admin.deleterequests.declineuser                 | App\Http\Controllers\Admin\UserDeleteRequestsController@declineUser          | web,auth,role:admin,active,checkPermission:users                                                                         |
| admin.localhost    | POST                                   | deleterequests/deleteuser/{delete_req}                      | admin.deleterequests.deleteuser                  | App\Http\Controllers\Admin\UserDeleteRequestsController@deleteUser           | web,auth,role:admin,active,checkPermission:users                                                                         |
| api.localhost      | GET|HEAD                               | driverReminderNotification                                  | api.driverReminderNotification                   | App\Http\Controllers\Api\TruckBookingController@driverReminderNotification   | api,localize,localizationRedirect,apiLang                                                                                |
| admin.localhost    | POST                                   | frontend/add/{review?}                                      | admin.frontend.app-reviews.add                   | App\Http\Controllers\Admin\FrontendController@storeAppReview                 | web,auth,role:admin,active,checkPermission:frontend                                                                      |
| admin.localhost    | GET|HEAD                               | frontend/app-reviews                                        | admin.frontend.app-reviews                       | App\Http\Controllers\Admin\FrontendController@appReviewsView                 | web,auth,role:admin,active,checkPermission:frontend                                                                      |
| api.localhost      | GET|HEAD                               | frontend/app-reviews                                        | api.app-reviews                                  | App\Http\Controllers\Admin\FrontendController@reviewsResource                | api,localize,localizationRedirect,apiLang                                                                                |
| admin.localhost    | DELETE                                 | frontend/delete/{review}                                    | admin.frontend.app-reviews.delete                | App\Http\Controllers\Admin\FrontendController@deleteAppReview                | web,auth,role:admin,active,checkPermission:frontend                                                                      |
| admin.localhost    | POST                                   | frontend/deleteWebsiteFile                                  | admin.frontend.deleteWebsiteFile                 | App\Http\Controllers\Admin\FrontendController@deleteWebsiteFile              | web                                                                                                                      |
| admin.localhost    | GET|HEAD                               | frontend/form/{review?}                                     | admin.frontend.app-reviews.form                  | App\Http\Controllers\Admin\FrontendController@appReviewForm                  | web,auth,role:admin,active,checkPermission:frontend                                                                      |
| admin.localhost    | GET|HEAD                               | frontend/offer                                              | admin.frontend.offer                             | App\Http\Controllers\Admin\FrontendController@offer                          | web,auth,role:admin,active,checkPermission:frontend                                                                      |
| admin.localhost    | POST                                   | frontend/offer/store                                        | admin.frontend.store-offer                       | App\Http\Controllers\Admin\FrontendController@storeOffer                     | web,auth,role:admin,active,checkPermission:frontend                                                                      |
| admin.localhost    | GET|HEAD                               | frontend/show/{review}                                      | admin.frontend.app-reviews.show                  | App\Http\Controllers\Admin\FrontendController@showAppReview                  | web,auth,role:admin,active,checkPermission:frontend                                                                      |
| admin.localhost    | POST                                   | frontend/update                                             | admin.frontend.update                            | App\Http\Controllers\Admin\FrontendController@updateFrontendData             | web                                                                                                                      |
| admin.localhost    | GET|HEAD                               | frontend/update-website                                     | admin.frontend.website-update                    | App\Http\Controllers\Admin\FrontendController@websiteUpdate                  | web,auth,role:admin,active,checkPermission:frontend                                                                      |
| admin.localhost    | POST                                   | frontend/uploadWebsiteFiles                                 | admin.frontend.uploadWebsiteFiles                | App\Http\Controllers\Admin\FrontendController@uploadWebsiteFiles             | web                                                                                                                      |
| admin.localhost    | GET|HEAD                               | frontend/website                                            | admin.frontend.website                           | App\Http\Controllers\Admin\FrontendController@websiteView                    | web,auth,role:admin,active,checkPermission:frontend                                                                      |
| api.localhost      | GET|HEAD                               | handbook/api-level                                          | api.handbook.api-level                           | App\Http\Controllers\Api\HandbookController@apiLevel                         | api,localize,localizationRedirect,apiLang                                                                                |
| api.localhost      | GET|HEAD                               | handbook/cancel-reasons                                     | api.handbook.cancelReasons                       | App\Http\Controllers\Api\HandbookController@cancelReasons                    | api,localize,localizationRedirect,apiLang                                                                                |
| api.localhost      | GET|HEAD                               | handbook/car-types                                          | api.car-types                                    | App\Http\Controllers\Api\HandbookController@tCarTypes                        | api,localize,localizationRedirect,apiLang                                                                                |
| api.localhost      | GET|HEAD                               | handbook/cargo-types                                        | api.handbook.cargo-types                         | App\Http\Controllers\Api\HandbookController@cargoTypes                       | api,localize,localizationRedirect,apiLang                                                                                |
| api.localhost      | GET|HEAD                               | handbook/contacts                                           | api.handbook.contacts                            | App\Http\Controllers\Api\HandbookController@contacts                         | api,localize,localizationRedirect,apiLang                                                                                |
| api.localhost      | GET|HEAD                               | handbook/load-types                                         | api.handbook.load-types                          | App\Http\Controllers\Api\HandbookController@loadTypes                        | api,localize,localizationRedirect,apiLang                                                                                |
| api.localhost      | GET|HEAD                               | handbook/partial-load-sizes                                 | api.partial-load-sizes                           | App\Http\Controllers\Api\HandbookController@partialLoadSizes                 | api,localize,localizationRedirect,apiLang                                                                                |
| api.localhost      | GET|HEAD                               | handbook/regions                                            | api.regions                                      | App\Http\Controllers\Api\HandbookController@regions                          | api,localize,localizationRedirect,apiLang                                                                                |
| api.localhost      | GET|HEAD                               | handbook/sizes                                              | api.sizes                                        | App\Http\Controllers\Api\HandbookController@sizes                            | api,localize,localizationRedirect,apiLang                                                                                |
| api.localhost      | POST                                   | handbook/testorder                                          | api.                                             | App\Http\Controllers\Api\TruckBookingController@testorder                    | api,localize,localizationRedirect,apiLang                                                                                |
| api.localhost      | POST                                   | handbook/ticket                                             | api.handbook.ticket                              | App\Http\Controllers\Api\HandbookController@ticket                           | api,localize,localizationRedirect,apiLang                                                                                |
| api.localhost      | GET|HEAD                               | handbook/ticket-themes                                      | api.handbook.ticket-themes                       | App\Http\Controllers\Api\HandbookController@ticketThemes                     | api,localize,localizationRedirect,apiLang                                                                                |
| api.localhost      | GET|HEAD                               | handbook/truck-types                                        | api.truck-types                                  | App\Http\Controllers\Api\HandbookController@carTypes                         | api,localize,localizationRedirect,apiLang                                                                                |
| api.localhost      | GET|HEAD                               | handbook/truck-types-list                                   | api.truck-types-list                             | App\Http\Controllers\Api\HandbookController@truckTypes                       | api,localize,localizationRedirect,apiLang                                                                                |
|                    | GET|HEAD                               | laravel-filemanager                                         | unisharp.lfm.show                                | UniSharp\LaravelFilemanager\Controllers\LfmController@show                   | web,auth,\UniSharp\LaravelFilemanager\Middlewares\MultiUser,\UniSharp\LaravelFilemanager\Middlewares\CreateDefaultFolder |
|                    | GET|HEAD                               | laravel-filemanager/crop                                    | unisharp.lfm.getCrop                             | UniSharp\LaravelFilemanager\Controllers\CropController@getCrop               | web,auth,\UniSharp\LaravelFilemanager\Middlewares\MultiUser,\UniSharp\LaravelFilemanager\Middlewares\CreateDefaultFolder |
|                    | GET|HEAD                               | laravel-filemanager/cropimage                               | unisharp.lfm.getCropimage                        | UniSharp\LaravelFilemanager\Controllers\CropController@getCropimage          | web,auth,\UniSharp\LaravelFilemanager\Middlewares\MultiUser,\UniSharp\LaravelFilemanager\Middlewares\CreateDefaultFolder |
|                    | GET|HEAD                               | laravel-filemanager/cropnewimage                            | unisharp.lfm.getCropimage                        | UniSharp\LaravelFilemanager\Controllers\CropController@getNewCropimage       | web,auth,\UniSharp\LaravelFilemanager\Middlewares\MultiUser,\UniSharp\LaravelFilemanager\Middlewares\CreateDefaultFolder |
|                    | GET|HEAD                               | laravel-filemanager/delete                                  | unisharp.lfm.getDelete                           | UniSharp\LaravelFilemanager\Controllers\DeleteController@getDelete           | web,auth,\UniSharp\LaravelFilemanager\Middlewares\MultiUser,\UniSharp\LaravelFilemanager\Middlewares\CreateDefaultFolder |
|                    | GET|HEAD                               | laravel-filemanager/deletefolder                            | unisharp.lfm.getDeletefolder                     | UniSharp\LaravelFilemanager\Controllers\FolderController@getDeletefolder     | web,auth,\UniSharp\LaravelFilemanager\Middlewares\MultiUser,\UniSharp\LaravelFilemanager\Middlewares\CreateDefaultFolder |
|                    | GET|HEAD                               | laravel-filemanager/doresize                                | unisharp.lfm.performResize                       | UniSharp\LaravelFilemanager\Controllers\ResizeController@performResize       | web,auth,\UniSharp\LaravelFilemanager\Middlewares\MultiUser,\UniSharp\LaravelFilemanager\Middlewares\CreateDefaultFolder |
|                    | GET|HEAD                               | laravel-filemanager/download                                | unisharp.lfm.getDownload                         | UniSharp\LaravelFilemanager\Controllers\DownloadController@getDownload       | web,auth,\UniSharp\LaravelFilemanager\Middlewares\MultiUser,\UniSharp\LaravelFilemanager\Middlewares\CreateDefaultFolder |
|                    | GET|HEAD                               | laravel-filemanager/errors                                  | unisharp.lfm.getErrors                           | UniSharp\LaravelFilemanager\Controllers\LfmController@getErrors              | web,auth,\UniSharp\LaravelFilemanager\Middlewares\MultiUser,\UniSharp\LaravelFilemanager\Middlewares\CreateDefaultFolder |
|                    | GET|HEAD                               | laravel-filemanager/folders                                 | unisharp.lfm.getFolders                          | UniSharp\LaravelFilemanager\Controllers\FolderController@getFolders          | web,auth,\UniSharp\LaravelFilemanager\Middlewares\MultiUser,\UniSharp\LaravelFilemanager\Middlewares\CreateDefaultFolder |
|                    | GET|HEAD                               | laravel-filemanager/jsonitems                               | unisharp.lfm.getItems                            | UniSharp\LaravelFilemanager\Controllers\ItemsController@getItems             | web,auth,\UniSharp\LaravelFilemanager\Middlewares\MultiUser,\UniSharp\LaravelFilemanager\Middlewares\CreateDefaultFolder |
|                    | GET|HEAD                               | laravel-filemanager/newfolder                               | unisharp.lfm.getAddfolder                        | UniSharp\LaravelFilemanager\Controllers\FolderController@getAddfolder        | web,auth,\UniSharp\LaravelFilemanager\Middlewares\MultiUser,\UniSharp\LaravelFilemanager\Middlewares\CreateDefaultFolder |
|                    | GET|HEAD                               | laravel-filemanager/rename                                  | unisharp.lfm.getRename                           | UniSharp\LaravelFilemanager\Controllers\RenameController@getRename           | web,auth,\UniSharp\LaravelFilemanager\Middlewares\MultiUser,\UniSharp\LaravelFilemanager\Middlewares\CreateDefaultFolder |
|                    | GET|HEAD                               | laravel-filemanager/resize                                  | unisharp.lfm.getResize                           | UniSharp\LaravelFilemanager\Controllers\ResizeController@getResize           | web,auth,\UniSharp\LaravelFilemanager\Middlewares\MultiUser,\UniSharp\LaravelFilemanager\Middlewares\CreateDefaultFolder |
|                    | GET|HEAD|POST|PUT|PATCH|DELETE|OPTIONS | laravel-filemanager/upload                                  | unisharp.lfm.upload                              | UniSharp\LaravelFilemanager\Controllers\UploadController@upload              | web,auth,\UniSharp\LaravelFilemanager\Middlewares\MultiUser,\UniSharp\LaravelFilemanager\Middlewares\CreateDefaultFolder |
|                    | GET|HEAD                               | laravel-filemanager/uploads/files/{base_path}/{file_name}   | unisharp.lfm.                                    | UniSharp\LaravelFilemanager\Controllers\RedirectController@getFile           |                                                                                                                          |
|                    | GET|HEAD                               | laravel-filemanager/uploads/photos/{base_path}/{image_name} | unisharp.lfm.                                    | UniSharp\LaravelFilemanager\Controllers\RedirectController@getImage          |                                                                                                                          |
| admin.localhost    | GET|HEAD                               | load-types                                                  | admin.load-types.index                           | App\Http\Controllers\Admin\LoadTypesController@index                         | web,auth,role:admin,active,checkPermission:load-types                                                                    |
| admin.localhost    | GET|HEAD                               | load-types/create                                           | admin.load-types.create                          | App\Http\Controllers\Admin\LoadTypesController@create                        | web,auth,role:admin,active,checkPermission:load-types                                                                    |
| admin.localhost    | DELETE                                 | load-types/destroy/{loadType}                               | admin.load-types.destroy                         | App\Http\Controllers\Admin\LoadTypesController@destroy                       | web,auth,role:admin,active,checkPermission:load-types                                                                    |
| admin.localhost    | GET|HEAD                               | load-types/edit/{loadType}                                  | admin.load-types.edit                            | App\Http\Controllers\Admin\LoadTypesController@edit                          | web,auth,role:admin,active,checkPermission:load-types                                                                    |
| admin.localhost    | POST                                   | load-types/store                                            | admin.load-types.store                           | App\Http\Controllers\Admin\LoadTypesController@store                         | web,auth,role:admin,active,checkPermission:load-types                                                                    |
| admin.localhost    | PUT                                    | load-types/update/{loadType}                                | admin.load-types.update                          | App\Http\Controllers\Admin\LoadTypesController@update                        | web,auth,role:admin,active,checkPermission:load-types                                                                    |
| merchant.localhost | POST                                   | login                                                       | admin2.auth.login                                | App\Http\Controllers\TAdmin\Auth\LoginController@login                       | web,guest                                                                                                                |
| merchant.localhost | GET|HEAD                               | login                                                       | admin2.auth.loginForm                            | App\Http\Controllers\TAdmin\Auth\LoginController@showLoginForm               | web,guest                                                                                                                |
| admin.localhost    | POST                                   | login                                                       | admin.auth.login                                 | App\Http\Controllers\Admin\Auth\LoginController@login                        | web,guest                                                                                                                |
| admin.localhost    | GET|HEAD                               | login                                                       | admin.auth.loginForm                             | App\Http\Controllers\Admin\Auth\LoginController@showLoginForm                | web,guest                                                                                                                |
| merchant.localhost | GET|HEAD                               | logout                                                      | admin2.auth.logout                               | App\Http\Controllers\TAdmin\Auth\LoginController@logout                      | web                                                                                                                      |
| admin.localhost    | GET|HEAD                               | logout                                                      | admin.auth.logout                                | App\Http\Controllers\Admin\Auth\LoginController@logout                       | web                                                                                                                      |
| admin.localhost    | GET|HEAD                               | merchanthelprequests                                        | admin.merchanthelprequests.index                 | App\Http\Controllers\Admin\MerchantHelpRequestsController@index              | web,auth,role:admin,active,checkPermission:companies                                                                     |
| admin.localhost    | DELETE                                 | merchanthelprequests/delete/{request}                       | admin.merchanthelprequests.delete                | App\Http\Controllers\Admin\MerchantHelpRequestsController@destroy            | web,auth,role:admin,active,checkPermission:companies                                                                     |
| admin.localhost    | POST                                   | merchanthelprequests/edit/{request}                         | admin.merchanthelprequests.edit                  | App\Http\Controllers\Admin\MerchantHelpRequestsController@update             | web,auth,role:admin,active,checkPermission:companies                                                                     |
| localhost          | POST                                   | octo/notify                                                 | site.octo.notify                                 | App\Http\Controllers\OctoController@notify                                   | web,localize,localizationRedirect                                                                                        |
| localhost          | GET|HEAD                               | octo/success                                                | site.                                            | App\Http\Controllers\OctoController@success                                  | web,localize,localizationRedirect                                                                                        |
| localhost          | GET|HEAD                               | offer                                                       | site.                                            | App\Http\Controllers\OctoController@offer                                    | web,localize,localizationRedirect                                                                                        |
| api.localhost      | GET|HEAD                               | offer/{lang}                                                | api.api_offer                                    | App\Http\Controllers\Api\HandbookController@offer                            | api,localize,localizationRedirect,apiLang                                                                                |
| api.localhost      | GET|HEAD                               | payment/company/{company}                                   | api.payment.company                              | App\Http\Controllers\Api\HandbookController@paymentCompany                   | api,localize,localizationRedirect,apiLang                                                                                |
| api.localhost      | GET|HEAD                               | payment/driver/{user}                                       | api.payment.driver                               | App\Http\Controllers\Api\HandbookController@paymentDriver                    | api,localize,localizationRedirect,apiLang                                                                                |
| localhost          | GET|HEAD                               | privacypolicy                                               | site.                                            | App\Http\Controllers\OctoController@offer                                    | web,localize,localizationRedirect                                                                                        |
| merchant.localhost | GET|HEAD                               | profile                                                     | admin2.profile.edit                              | App\Http\Controllers\TAdmin\ProfileController@edit                           | web,auth,role:merchant,active,merchantCompany                                                                            |
| merchant.localhost | PUT                                    | profile                                                     | admin2.profile.update                            | App\Http\Controllers\TAdmin\ProfileController@update                         | web,auth,role:merchant,active,merchantCompany                                                                            |
| admin.localhost    | GET|HEAD                               | profile                                                     | admin.profile.edit                               | App\Http\Controllers\Admin\ProfileController@edit                            | web,auth,role:admin,active                                                                                               |
| admin.localhost    | PUT                                    | profile                                                     | admin.profile.update                             | App\Http\Controllers\Admin\ProfileController@update                          | web,auth,role:admin,active                                                                                               |
| api.localhost      | PUT                                    | profile/car                                                 | api.profile.car.update                           | App\Http\Controllers\Api\ProfileController@updateTCar                        | api,localize,localizationRedirect,apiLang,apiAuth:driver,client,merchant                                                 |
| api.localhost      | GET|HEAD                               | profile/car                                                 | api.profile.car.show                             | App\Http\Controllers\Api\ProfileController@showTCar                          | api,localize,localizationRedirect,apiLang,apiAuth:driver,client,merchant                                                 |
| api.localhost      | POST                                   | profile/delete                                              | api.profile.deleteProfileRequest                 | App\Http\Controllers\Api\ProfileController@deleteProfileRequest              | api,localize,localizationRedirect,apiLang,apiAuth:driver,client,merchant                                                 |
| api.localhost      | POST                                   | profile/location                                            | api.profile.update.location                      | App\Http\Controllers\Api\ProfileController@updateLocation                    | api,localize,localizationRedirect,apiLang,apiAuth:driver,client,merchant                                                 |
