+--------------------+----------------------------------------+-------------------------------------------------------------+--------------------------------------------------+------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------+
| Domain             | Method                                 | URI                                                         | Name                                             | Action                                                                       | Middleware                                                                                                               |
| admin.localhost    | GET|HEAD                               | appversions/edit/{company}                                  | admin.appversions.edit                           | App\Http\Controllers\Admin\AppVersionsController@edit                        | web,auth,role:admin,active,checkPermission:companies                                                                     |
| admin.localhost    | GET|HEAD                               | appversions/export                                          | admin.appversions.export                         | App\Http\Controllers\Admin\AppVersionsController@export                      | web,auth,role:admin,active,checkPermission:companies                                                                     |
| admin.localhost    | POST                                   | appversions/filterdata                                      | admin.appversions.filterdata                     | App\Http\Controllers\Admin\AppVersionsController@filterData                  | web,auth,role:admin,active,checkPermission:companies                                                                     |
| admin.localhost    | GET|HEAD                               | appversions/show-orders/{company}                           | admin.appversions.show-orders                    | App\Http\Controllers\Admin\AppVersionsController@showOrders                  | web,auth,role:admin,active,checkPermission:companies                                                                     |
| admin.localhost    | GET|HEAD                               | appversions/show/{company}                                  | admin.appversions.show                           | App\Http\Controllers\Admin\AppVersionsController@show                        | web,auth,role:admin,active,checkPermission:companies                                                                     |
| admin.localhost    | POST                                   | appversions/store                                           | admin.appversions.store                          | App\Http\Controllers\Admin\AppVersionsController@store                       | web,auth,role:admin,active,checkPermission:companies                                                                     |
| admin.localhost    | POST                                   | appversions/update                                          | admin.appversions.update                         | App\Http\Controllers\Admin\AppVersionsController@update                      | web,auth,role:admin,active,checkPermission:companies                                                                     |
| admin.localhost    | GET|HEAD                               | articles                                                    | admin.articles.index                             | App\Http\Controllers\Admin\ArticlesController@index                          | web,auth,role:admin,active,checkPermission:articles                                                                      |
| api.localhost      | GET|HEAD                               | articles                                                    | api.articles.index                               | App\Http\Controllers\Api\ArticlesController@index                            | api,localize,localizationRedirect,apiLang                                                                                |
| admin.localhost    | GET|HEAD                               | articles/create                                             | admin.articles.create                            | App\Http\Controllers\Admin\ArticlesController@create                         | web,auth,role:admin,active,checkPermission:articles                                                                      |
| admin.localhost    | DELETE                                 | articles/destroy-photo/{article}                            | admin.articles.destroy-photo                     | App\Http\Controllers\Admin\ArticlesController@destroyImage                   | web,auth,role:admin,active,checkPermission:articles                                                                      |
| admin.localhost    | DELETE                                 | articles/destroy/{article}                                  | admin.articles.destroy                           | App\Http\Controllers\Admin\ArticlesController@destroy                        | web,auth,role:admin,active,checkPermission:articles                                                                      |
| admin.localhost    | GET|HEAD                               | articles/edit/{article}                                     | admin.articles.edit                              | App\Http\Controllers\Admin\ArticlesController@edit                           | web,auth,role:admin,active,checkPermission:articles                                                                      |
| admin.localhost    | POST                                   | articles/store                                              | admin.articles.store                             | App\Http\Controllers\Admin\ArticlesController@store                          | web,auth,role:admin,active,checkPermission:articles                                                                      |
| admin.localhost    | PUT                                    | articles/update/{article}                                   | admin.articles.update                            | App\Http\Controllers\Admin\ArticlesController@update                         | web,auth,role:admin,active,checkPermission:articles                                                                      |
| api.localhost      | GET|HEAD                               | articles/{article}                                          | api.articles.show                                | App\Http\Controllers\Api\ArticlesController@show                             | api,localize,localizationRedirect,apiLang                                                                                |
| api.localhost      | POST                                   | auth/change-number                                          | api.auth.change-number                           | App\Http\Controllers\Api\AuthController@changeNumber                         | api,localize,localizationRedirect,apiLang,apiAuth:driver,client,merchant                                                 |
